Date,Price
8/25/2017,420
8/28/2017,400
8/30/2017,380
9/1/2017,410
9/6/2017,600
9/8/2017,550
9/11/2017,500
9/13/2017,550
9/15/2017,540
9/18/2017,520
9/20/2017,520
9/22/2017,520
9/25/2017,480
9/27/2017,480
9/29/2017,480
10/2/2017,480
10/4/2017,480
10/6/2017,620
10/9/2017,620
10/11/2017,580
10/13/2017,600
10/16/2017,560
10/18/2017,560
10/20/2017,600
10/23/2017,820
10/25/2017,780
10/27/2017,800
10/30/2017,820
11/1/2017,800
11/3/2017,780
11/6/2017,760
11/8/2017,780
11/10/2017,780
11/13/2017,760
11/15/2017,720
11/17/2017,650
11/20/2017,700
11/22/2017,700
11/24/2017,720
11/27/2017,720
11/29/2017,780
12/1/2017,820
12/4/2017,820
12/6/2017,800
12/8/2017,800
12/11/2017,850
12/13/2017,850
12/15/2017,850
12/18/2017,1000
12/20/2017,1060
12/22/2017,1100
12/25/2017,950
12/27/2017,950
12/29/2017,1000
1/3/2018,1050
1/5/2018,1100
1/8/2018,1100
1/10/2018,1100
1/12/2018,1200
1/15/2018,1200
1/17/2018,1300
1/19/2018,1300
1/22/2018,1300
1/24/2018,1300
1/26/2018,1300
1/29/2018,1200
1/31/2018,1150
2/2/2018,1200
2/5/2018,1200
2/7/2018,1200
2/9/2018,1200
2/12/2018,1200
2/21/2018,1200
2/23/2018,1200
2/26/2018,1200
2/28/2018,1150
3/2/2018,1150
3/5/2018,1100
3/7/2018,1100
3/9/2018,1100
3/12/2018,800
3/14/2018,850
3/16/2018,850
3/19/2018,750
3/21/2018,730
3/23/2018,670
3/26/2018,700
3/28/2018,700
3/30/2018,680
4/2/2018,650
4/4/2018,600
4/6/2018,550
4/9/2018,550
4/11/2018,550
4/13/2018,550
4/16/2018,550
4/18/2018,580
4/20/2018,580
4/23/2018,600
4/27/2018,580
5/2/2018,600
5/4/2018,560
5/7/2018,580
5/9/2018,540
5/11/2018,540
5/14/2018,530
5/16/2018,520
5/18/2018,540
5/21/2018,540
5/23/2018,540
5/25/2018,530
5/28/2018,600
5/30/2018,650
6/1/2018,750
6/4/2018,660
6/6/2018,750
6/8/2018,780
6/11/2018,780
6/13/2018,700
6/15/2018,680
6/18/2018,720
6/20/2018,720
6/22/2018,720
6/25/2018,680
6/27/2018,590
6/29/2018,570
7/2/2018,500
7/4/2018,500
7/6/2018,490
7/9/2018,550
7/11/2018,580
7/13/2018,570
7/16/2018,560
7/18/2018,560
7/20/2018,560
7/23/2018,550
7/25/2018,550
7/27/2018,520
7/30/2018,520
8/1/2018,520
8/3/2018,520
8/6/2018,450
8/8/2018,480
8/10/2018,430
8/13/2018,450
8/15/2018,460
8/17/2018,440
8/20/2018,420
8/22/2018,420
8/24/2018,420
8/27/2018,420
8/29/2018,430
8/31/2018,420
9/5/2018,400
9/7/2018,400
9/10/2018,380
9/12/2018,380
9/14/2018,430
9/17/2018,340
9/19/2018,350
9/21/2018,300
9/24/2018,320
9/26/2018,320
9/28/2018,280
10/1/2018,280
10/3/2018,280
10/5/2018,250
10/8/2018,220
10/10/2018,200
10/12/2018,340
10/15/2018,400
10/17/2018,350
10/19/2018,330
10/22/2018,320
10/24/2018,300
10/26/2018,200
10/29/2018,200
10/31/2018,200
11/2/2018,190
11/5/2018,200
11/7/2018,200
11/9/2018,200
11/12/2018,300
11/14/2018,250
11/16/2018,320
11/19/2018,280
11/21/2018,350
11/23/2018,420
11/26/2018,420
11/28/2018,480
11/30/2018,480
12/3/2018,650
12/5/2018,600
12/7/2018,580
12/10/2018,550
12/12/2018,540
12/14/2018,520
12/17/2018,520
12/19/2018,550
12/21/2018,540
12/24/2018,560
12/26/2018,550
